[2026-02-26 09:34:56.091] [INFO    ] [services.logging_service] [INFO]   Sous-total avant dédoublonnage: 33 points
[2026-02-26 09:34:56.105] [INFO    ] [services.logging_service] [INFO]   Après dédoublonnage: 28 points
[2026-02-26 09:34:56.120] [INFO    ] [services.logging_service] [INFO]   Espacement min 2.0m: 10 supprimés
[2026-02-26 09:34:56.128] [INFO    ] [services.logging_service] [INFO]   (Premier niveau - pas de continuité)
[2026-02-26 09:34:56.144] [INFO    ] [services.logging_service] [INFO]   Validation murs: 18 OK | 0 corrigés | 0 supprimés
[2026-02-26 09:34:56.151] [INFO    ] [services.logging_service] [INFO] ==> TOTAL FINAL PLANT 2 : 18 poteaux
[2026-02-26 09:34:56.164] [INFO    ] [services.logging_service] [INFO] 'PLANT 2': 0 existants | 0 doublons | 18 nouveaux
[2026-02-26 09:34:56.189] [INFO    ] [services.logging_service] [INFO] Famille: 305x305x97UC (400x400mm)
[2026-02-26 09:48:31.979] [INFO    ] [services.revit_service] RevitService initialise - Doc: VIVIENDA
[2026-02-26 09:48:32.018] [INFO    ] [services.geometry_service] GeometryService initialise
[2026-02-26 09:48:32.030] [INFO    ] [services.logging_service] LoggingService initialise - Session: 25b5a778
[2026-02-26 09:48:39.150] [INFO    ] [services.logging_service] [INFO] === Placement v4.0 - PLANT 2 (h=3000mm) ===
[2026-02-26 09:48:39.253] [INFO    ] [services.logging_service] [INFO]   Portée cible=4.0m | max=5.5m | min=2.0m
[2026-02-26 09:48:39.255] [INFO    ] [services.logging_service] [INFO]   Hauteur min mur structurel: 2.0m
[2026-02-26 09:48:39.274] [INFO    ] [services.logging_service] [INFO] Murs : 45 total | 23 structurels gardes | 21 trop bas (< 2.0m) | 1 trop courts
[2026-02-26 09:48:39.286] [INFO    ] [services.logging_service] [INFO] Groupes murs: 6 horizontaux | 10 verticaux
[2026-02-26 09:48:39.289] [INFO    ] [services.logging_service] [INFO] BBox bâtiment: X=[-10.36..7.80]m Y=[-3.62..5.84]m
[2026-02-26 09:48:39.293] [INFO    ] [services.logging_service] [INFO]   --- Murs Horizontaux ---
[2026-02-26 09:48:39.320] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=1.40m | L=4.47m | X=[-6.42..-1.95]m
[2026-02-26 09:48:39.337] [INFO    ] [services.logging_service] [INFO]     Mur 4.47m : 1 intervalles, portée 4.47m
[2026-02-26 09:48:39.341] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -6.419m -> -6.419m (dist=0.000m)
[2026-02-26 09:48:39.343] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -1.946m -> -1.946m (dist=0.000m)
[2026-02-26 09:48:39.345] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.346] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=5.04m | L=8.27m | X=[-5.14..3.13]m
[2026-02-26 09:48:39.348] [INFO    ] [services.logging_service] [INFO]     Mur 8.27m : 1 intervalles, portée 8.27m
[2026-02-26 09:48:39.350] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -5.139m -> -5.139m (dist=0.000m)
[2026-02-26 09:48:39.353] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 3.133m -> 3.133m (dist=0.000m)
[2026-02-26 09:48:39.355] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.362] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=2.49m | L=17.27m | X=[-10.36..7.80]m
[2026-02-26 09:48:39.364] [INFO    ] [services.logging_service] [INFO]     Mur 18.16m : 2 intervalles, portée 9.08m
[2026-02-26 09:48:39.369] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -10.359m -> -10.359m (dist=0.000m)
[2026-02-26 09:48:39.375] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 7.797m -> 7.797m (dist=0.000m)
[2026-02-26 09:48:39.380] [INFO    ] [services.logging_service] [INFO]     -> 3 poteaux placés
[2026-02-26 09:48:39.389] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=-0.56m | L=4.66m | X=[3.14..7.80]m
[2026-02-26 09:48:39.395] [INFO    ] [services.logging_service] [INFO]     Mur 4.66m : 1 intervalles, portée 4.66m
[2026-02-26 09:48:39.403] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 3.137m -> 3.133m (dist=0.004m)
[2026-02-26 09:48:39.411] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 7.797m -> 7.797m (dist=0.000m)
[2026-02-26 09:48:39.416] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.422] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=5.80m | L=4.66m | X=[3.13..7.80]m
[2026-02-26 09:48:39.430] [INFO    ] [services.logging_service] [INFO]     Mur 4.66m : 1 intervalles, portée 4.66m
[2026-02-26 09:48:39.437] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 3.133m -> 3.133m (dist=0.000m)
[2026-02-26 09:48:39.444] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.453] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=-2.33m | L=12.35m | X=[-10.36..-1.95]m
[2026-02-26 09:48:39.459] [INFO    ] [services.logging_service] [INFO]     Mur 8.41m : 1 intervalles, portée 8.41m
[2026-02-26 09:48:39.468] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -10.359m -> -10.359m (dist=0.000m)
[2026-02-26 09:48:39.478] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -1.946m -> -1.946m (dist=0.000m)
[2026-02-26 09:48:39.484] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:48:39.491] [INFO    ] [services.logging_service] [INFO]   --- Murs Verticaux ---
[2026-02-26 09:48:39.499] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-3.03m | L=2.55m | Y=[2.49..5.04]m
[2026-02-26 09:48:39.508] [INFO    ] [services.logging_service] [INFO]     Mur 2.55m : 1 intervalles, portée 2.55m
