[2026-02-20 00:03:55.202] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : poteaux.png (1209 bytes)
[2026-02-20 00:03:55.318] [INFO    ] [ui.ribbon_builder   ]       Creer Poteaux Standards : script ecrit (v33)
[2026-02-20 00:03:56.015] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : poteaux_std.png (1148 bytes)
[2026-02-20 00:03:56.095] [INFO    ] [ui.ribbon_builder   ]       Creer Poteaux Variables : script ecrit (v1)
[2026-02-20 00:03:56.703] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : poteaux_var.png (894 bytes)
[2026-02-20 00:03:56.817] [INFO    ] [ui.ribbon_builder   ]       Creer Poutres : script ecrit (v8)
[2026-02-20 00:03:57.403] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : poutres.png (675 bytes)
[2026-02-20 00:03:57.537] [INFO    ] [ui.ribbon_builder   ]       Creer Voiles : script ecrit (v17)
[2026-02-20 00:03:58.210] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : voiles.png (616 bytes)
[2026-02-20 00:03:58.220] [INFO    ] [ui.ribbon_builder   ]     STACK cree : Poteaux Poutres Voiles Dalles 2 (1/4 items)
[2026-02-20 00:03:58.828] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : structure.png (1409 bytes)
[2026-02-20 00:03:58.930] [INFO    ] [ui.ribbon_builder   ]       Creer Dalles : script ecrit (v3)
[2026-02-20 00:03:59.744] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : dalles.png (778 bytes)
[2026-02-20 00:03:59.815] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 05_Elements Secondaires & Details.panel
[2026-02-20 00:04:00.620] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : modelisation.png (1592 bytes)
[2026-02-20 00:04:00.692] [INFO    ] [ui.ribbon_builder   ]       Rampes Garde-corps : script ecrit (v1)
[2026-02-20 00:04:01.293] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : rampes.png (1531 bytes)
[2026-02-20 00:04:01.379] [INFO    ] [ui.ribbon_builder   ]       Elements Prefabriques : script ecrit (v1)
[2026-02-20 00:04:02.056] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : prefab.png (990 bytes)
[2026-02-20 00:04:02.125] [INFO    ] [ui.ribbon_builder   ]     STACK cree : Acroteres Joints Tremies
[2026-02-20 00:04:02.720] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : details.png (668 bytes)
[2026-02-20 00:04:02.731] [INFO    ] [ui.ribbon_builder   ]       Creer Acroteres : script ecrit (v1)
[2026-02-20 00:04:03.333] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : acroteres.png (607 bytes)
[2026-02-20 00:04:03.408] [INFO    ] [ui.ribbon_builder   ]       Joints Dilatation : script ecrit (v1)
[2026-02-20 00:04:03.997] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : joints.png (1009 bytes)
[2026-02-20 00:04:04.091] [INFO    ] [ui.ribbon_builder   ]       Creer Tremies : script ecrit (v1)
[2026-02-20 00:04:04.678] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : tremies.png (796 bytes)
[2026-02-20 00:04:04.685] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 06_Verification & Qualite.panel
[2026-02-20 00:04:05.368] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : verification.png (1990 bytes)
[2026-02-20 00:04:05.465] [INFO    ] [ui.ribbon_builder   ]       Verifier Regles Conformite : script ecrit (v1)
[2026-02-20 00:04:06.083] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : regles.png (1142 bytes)
[2026-02-20 00:04:06.198] [INFO    ] [ui.ribbon_builder   ]       Rapport Qualite Descente Charges : script ecrit (v1)
[2026-02-20 00:04:07.031] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : descente.png (989 bytes)
[2026-02-20 00:04:07.113] [INFO    ] [ui.ribbon_builder   ]       Export BCF Sync Centrale : script ecrit (v1)
[2026-02-20 00:04:07.716] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : bcf.png (1200 bytes)
[2026-02-20 00:04:07.751] [INFO    ] [ui.ribbon_builder   ]       Correction Auto Post-Import : script ecrit (v1)
[2026-02-20 00:04:08.375] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : correction.png (1815 bytes)
[2026-02-20 00:04:08.467] [INFO    ] [ui.ribbon_builder   ]       Visualiser Efforts Redimensionner : script ecrit (v1)
[2026-02-20 00:04:09.145] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : efforts.png (1172 bytes)
[2026-02-20 00:04:09.218] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Calcul Externe
[2026-02-20 00:04:09.793] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : calcul.png (1262 bytes)
[2026-02-20 00:04:09.882] [INFO    ] [ui.ribbon_builder   ]       Export Robot : script ecrit (v1)
[2026-02-20 00:04:10.544] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : robot.png (1332 bytes)
[2026-02-20 00:04:10.626] [INFO    ] [ui.ribbon_builder   ]       Import Resultats Efforts : script ecrit (v1)
[2026-02-20 00:04:11.231] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : import_results.png (1184 bytes)
[2026-02-20 00:04:11.311] [INFO    ] [ui.ribbon_builder   ]     SPLITBUTTON cree : Export Arche
[2026-02-20 00:04:11.919] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : arche.png (1046 bytes)
[2026-02-20 00:04:12.027] [INFO    ] [ui.ribbon_builder   ]       Export Arche Standard : script ecrit (v1)
[2026-02-20 00:04:12.617] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : arche_std.png (1306 bytes)
[2026-02-20 00:04:12.628] [INFO    ] [ui.ribbon_builder   ]       Export Arche Avance : script ecrit (v1)
[2026-02-20 00:04:13.235] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : arche_adv.png (1328 bytes)
[2026-02-20 00:04:13.313] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 07_Ferraillage & Coffrage.panel
[2026-02-20 00:04:13.938] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ferraillage.png (2248 bytes)
[2026-02-20 00:04:14.016] [INFO    ] [ui.ribbon_builder   ]       Generer Notes Calcul : script ecrit (v1)
[2026-02-20 00:04:14.622] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : notes.png (965 bytes)
[2026-02-20 00:04:14.702] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Ferraillage
[2026-02-20 00:04:15.278] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ferraillage_menu.png (1180 bytes)
[2026-02-20 00:04:15.359] [INFO    ] [ui.ribbon_builder   ]       Ferraillage Fondations : script ecrit (v1)
[2026-02-20 00:04:15.982] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ferr_fond.png (1179 bytes)
[2026-02-20 00:04:16.064] [INFO    ] [ui.ribbon_builder   ]       Ferraillage Poteaux : script ecrit (v1)
[2026-02-20 00:04:16.657] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ferr_pot.png (1180 bytes)
[2026-02-20 00:04:16.746] [INFO    ] [ui.ribbon_builder   ]       Ferraillage Poutres : script ecrit (v1)
[2026-02-20 00:04:17.339] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ferr_pout.png (1322 bytes)
[2026-02-20 00:04:17.347] [INFO    ] [ui.ribbon_builder   ]       Ferraillage Dalles : script ecrit (v1)
[2026-02-20 00:04:18.155] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ferr_dall.png (1079 bytes)
[2026-02-20 00:04:18.235] [INFO    ] [ui.ribbon_builder   ]       Ferraillage Voiles : script ecrit (v1)
